agent,trial,episode,reward,acceptance_rate,mean_cpu_utilization,mean_memory_utilization,mean_bandwidth_utilization,mean_operating_servers
PPO,0,0,264556.7340926225,0.13341346153846154,0.00024982650823731885,0.001263420019942752,0.0003821347632707237,0.9707602339181286
PPO,0,1,202034.5717534926,0.37073170731707317,0.00021081110352570316,0.0008970795206392075,0.0002717368208334375,0.8577319587628865
PPO,0,2,130888.42727177887,0.31076923076923074,0.00016535170376511365,0.0009294031063707624,0.000240817058267543,0.8616891064871481
PPO,0,3,381745.0635588178,0.12850467289719625,0.00024599507769229486,0.001327283987882952,0.0004867349061717466,0.9902840059790733
PPO,0,4,275039.64816365787,0.184,0.0001786467547593453,0.0012893365322509287,0.00038473143885817904,0.9744744744744744
PPO,0,5,201369.9571265419,0.23271889400921658,0.00012949814318068676,0.0011146297765453558,0.000326048021113115,0.9299655568312285
PPO,0,6,319945.9610503087,0.1843687374749499,0.00021813052168937334,0.0012006974317884174,0.0004119777257241396,0.973421926910299
PPO,0,7,122976.66903259441,0.3333333333333333,0.00010272035602875404,0.0008970597384268275,0.00022593032658751587,0.8586572438162544
PPO,0,8,156584.4457362432,0.3511450381679389,0.00015259801894256482,0.0009412698380475026,0.0002495337795653373,0.8464052287581699
PPO,0,9,278054.27434056415,0.16666666666666666,0.0002762202168566362,0.0012385946338964921,0.0003795988993844746,0.9490445859872612
PPO,0,10,175311.55446642774,0.32264150943396225,0.00014892048889115526,0.001024200978109467,0.00028187865782516484,0.8967013888888888
PPO,0,11,295293.1929542287,0.19117647058823528,0.00016940228679659068,0.0011594505324706704,0.00037447566786648557,0.9464285714285714
PPO,0,12,194893.61872160647,0.20865533230293662,0.00019759299856807248,0.0011135392356890162,0.0002973880771717751,0.9258957654723127
PPO,0,13,344608.5070769694,0.20722135007849293,0.00013548454301599955,0.001221318253696232,0.00043320716836225964,0.9655172413793104
PPO,0,14,343467.7487522874,0.134375,0.00015429067298353087,0.0013840592939056364,0.00042727088386612774,0.9740820734341252
PPO,0,15,173633.46124958812,0.26908396946564883,0.00018383245238067113,0.0010745973226211996,0.00030436164342319066,0.9230769230769231
PPO,0,16,334594.6344440505,0.1371841155234657,0.00025315662977809343,0.0012800832420882986,0.00043537514553016425,0.9691160809371672
PPO,0,17,275763.90986836527,0.15675675675675677,0.00029194209000178587,0.0012375082841642273,0.0003846469967286334,0.9568627450980393
PPO,0,18,167334.14791243942,0.34352941176470586,0.00013530086880048848,0.0009798586322195381,0.00027713154822443895,0.884272997032641
PPO,0,19,269792.51275112265,0.19753086419753085,0.00021088048352095555,0.0011609146169271377,0.0003687698054984263,0.9565217391304348
PPO,1,0,178232.1907726636,0.29322268326417705,0.00023546691344359408,0.0014296092658091129,0.00037450069836125033,0.9644218551461246
PPO,1,1,387013.2216197882,0.13974358974358975,0.0001790551260995725,0.001726824169348663,0.0005547176977536901,0.9967923015236567
PPO,1,2,173963.79211897962,0.3623853211009174,0.00026219028549978113,0.00130792335660159,0.00032556488551941016,0.9243856332703214
PPO,1,3,293127.42053989164,0.20179372197309417,0.000430568768299207,0.001658422854916167,0.00044318794869331433,0.9896640826873385
PPO,1,4,148558.3978484563,0.38144329896907214,0.00022982919895486717,0.0013046362429467687,0.00034471055126709824,0.9285714285714286
PPO,1,5,212439.50326856843,0.24783147459727387,0.00036235690646077475,0.0014779788274735643,0.0003860380538611265,0.9572490706319703
PPO,1,6,414931.1550531443,0.09131905298759865,0.00021491625249205773,0.0018446212217026366,0.0005935747980174733,0.9991883116883117
PPO,1,7,345891.6775849772,0.19418758256274768,0.00022684161471309022,0.0016319353107551384,0.0005050113682132854,0.9934402332361516
PPO,1,8,324058.77309940377,0.13443396226415094,0.00029184617114113193,0.001717424044003467,0.00048185378346329253,0.9909365558912386
PPO,1,9,373651.32591710717,0.2160392798690671,0.0002841135766924906,0.0016451858193483172,0.000567017567295094,0.9926672777268561
PPO,1,10,183001.54294528737,0.42292490118577075,0.00017576812378470127,0.0012126169625217423,0.00030996952807889474,0.8945736434108527
PPO,1,11,343793.45016016345,0.28936170212765955,0.00029619455707986553,0.0015406337726647555,0.000483758046969144,0.9870410367170627
PPO,1,12,312190.39283464325,0.2393026941362916,0.0003427263169464054,0.0016063475268900283,0.0004890272381698231,0.9842323651452282
PPO,1,13,114297.40910839813,0.48333333333333334,0.00020559483436720152,0.0010162908094990862,0.00022303824205608622,0.8192771084337349
PPO,1,14,157168.0458715706,0.37528604118993136,0.00016894114644086853,0.001259685935819835,0.00031303929089572877,0.9025641025641026
PPO,1,15,296879.01937156817,0.12345679012345678,0.00023642504689802283,0.0017069917402428622,0.00048513937236366555,0.9877785765636233
PPO,1,16,380516.1917194116,0.1265678449258837,0.00035865822559543587,0.0016252251225274993,0.0005671913697024178,0.9903181189488244
PPO,1,17,216517.99027217095,0.41346153846153844,0.0001805784681765704,0.0012296577656069059,0.000329013765006863,0.9208333333333333
PPO,1,18,319018.2385802789,0.2511013215859031,0.00034690549083596947,0.0016054035944756068,0.00044631988820523596,0.9861431870669746
PPO,1,19,122594.0892304138,0.39346811819595645,0.0002520532592996502,0.0012665538395890668,0.0003120028212532218,0.9180977542932629
PPO,2,0,384525.9737066368,0.2921686746987952,0.00032600884948583213,0.0018033184289218583,0.0005303425974335932,0.9818731117824774
PPO,2,1,180764.02710977805,0.4529262086513995,0.0002528855428121859,0.001290439332327683,0.0003069765308122261,0.8861386138613861
PPO,2,2,377545.94933331036,0.17570093457943925,0.0003894117409098851,0.0019095311259163359,0.0005512229134151258,0.9968287526427061
PPO,2,3,439243.44084335654,0.26492537313432835,0.00038847789912204085,0.0018214489118876956,0.0005912283984932772,0.9920343137254902
PPO,2,4,335261.43213909137,0.2560386473429952,0.00037667422862979914,0.0017192531985357187,0.0004900676489210131,0.9811097992916175
PPO,2,5,409937.00279355433,0.19406392694063926,0.0002149354629812034,0.001886482709109956,0.0005695934873675504,0.9935567010309279
PPO,2,6,266816.4806728235,0.2605042016806723,0.0002761445244747809,0.001639884520462997,0.00041884517819825557,0.9652375434530707
PPO,2,7,269851.1831449021,0.25705329153605017,0.00030046665266376715,0.0016808399244447338,0.0003643773059937659,0.957345971563981
PPO,2,8,167163.34911868718,0.34801762114537443,0.0001677721250595964,0.0014718127402906522,0.0002899927521511229,0.9044117647058824
PPO,2,9,447073.54474159726,0.24469820554649266,0.0003721756038067965,0.001802151873729645,0.0005638936791494769,0.9914965986394558
PPO,2,10,320370.27978585486,0.20833333333333334,0.0002845188929472167,0.0016939530247512041,0.0004438584291595801,0.967982924226254
PPO,2,11,193234.38530220024,0.32217573221757323,0.0003348923882518107,0.0015273080158656079,0.00031490609235890074,0.944337811900192
PPO,2,12,127302.41633332321,0.5802469135802469,0.00012582552917206962,0.0011724284461706222,0.0002690635938840195,0.8604651162790697
PPO,2,13,287572.2386293567,0.4035532994923858,0.00023647700169176713,0.0015288217118918767,0.00041633313869430334,0.95092693565976
PPO,2,14,150219.44727462868,0.47293447293447294,0.00020768284894023592,0.0013377407138613895,0.00029878201763285436,0.89749430523918
PPO,2,15,407497.8788277896,0.24098867147270855,0.00025124013095105367,0.0017996795570956868,0.0005445440270596849,0.9902386117136659
PPO,2,16,404576.09337216406,0.24643584521384929,0.00030211154159965,0.0018185831110154149,0.0005473244325006971,0.9872151195108394
PPO,2,17,152704.89125619328,0.512,0.00029861125705414235,0.0011954759925683672,0.0002922521073928609,0.8780120481927711
