#{"t_start": 1614514546.2763753, "env_id": null}
r,l,t
181318.837538,3586,76.93715
536407.690604,1347,103.261208
425536.821559,1789,138.952246
729256.314503,1152,163.285317
508419.06768,436,175.597233
548426.493845,1046,195.195623
400852.600669,704,208.346916
